Title,Categories,Author,Narrated By,Series,Length (Hours),Length (Minutes),ReleaseDate,Price,Ratings,Overall Rating Out of 5,Performance Rating out of 5,Story Rating out of 5,Overall 5 stars amount,Overall 4 star amount,Overall 3 star amount,Overall 2 star amount,Overall 1 star amount,Performance 5 star amount,Performance 4 star amount,Performance 3 star amount,Performance 2 star amount,Performance 1 star amount,Story 5 star amount,story 4 star amount,Story 3 star amount,Story 2 star amount,Story 1 star amount,1 Review header,1 Review body,1 Review helpful count,2 Review Header,2 Review body,2 Review helpful count,3 Review Header,3 Review Body,3 Review helpful count,,,,,,,
"I'd Like to Play Alone, Please",Comedy & Humor,Tom Segura,Tom Segura,,6,4,6/14/2022,19.49,10041,4.8,4.9,4.8,8823,845,238,66,69,8328,437,111,36,43,7750,746,270,67,77,Great book.,Tom is hilarious. This book is full of great stories. The fact that he reads it himself makes all the difference.,3 people found this helpful,10 out 12 Benadryl,"""Tom does an amazing job providing the tone and feel for for his stories here. Rarely as listeners do we get to experience an audio book that’s preformed by its author, and even rarer than that is an author that can actually preform well on mic! An excellent collection of stories, laughs, an insights from the water champion himself.",3 people found this helpful,Keep Featherin' it Brother!,T Bunz always delivers ?? The Audio book version makes it real. Loved hearing more stories of Top Dog and Charo. Good job Buddy!,3 people found this helpful,,,,,,,
The King's Ransom,Comedy & Humor,Janet Evanovich,,The Recovery Agent Series,7,30,6/1/2025,18.89,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game On,Comedy & Humor,Janet Evanovich,Lorelei King,Stephanie Plum,7,3,11/2/2021,14.99,3423,4.6,4.8,4.6,2562,588,196,45,32,2553,318,96,20,25,2165,514,221,49,40,Evanovich Exciting,"Great adventure told just the right way! Stephanie Plum and crew are exciting again, but will they get their man? Well written easy read. So creative!",1 person found this helpful,Great book!,"""A new Stephanie Plum book is always a fun read. Just needed more Ranger. A+++",,An enjoyable listen,"I like this series of books, and I enjoyed this one too. I wish they were a bit longer. The narration is amazing as always.",,,,,,,,
One Day,Comedy & Humor,David Nicholls,Anna Bentinck,,16,25,7/13/2010,20.25,1448,3.8,4.1,3.9,517,439,277,129,86,461,294,156,45,25,396,270,173,84,61,Loved the first 80%.,"I think it is worth the download. The characters really grow on you since you are covering a 20 year friendship. I really enjoyed the friendship: the sexual tension, the growth and changes and how at times they were very close then grew apart. I wasn't keen on the ending. It was disappointing and just went on and on...I won't add a spoiler here. Is it worth the download? I think so. Until the end, I couldn't stop listening to it. The narrator is very good and Em and Dex really grew on me, especially Em.",2 people found this helpful,"Sweet, intimate story, not sentimental","""You get the whole story of this relationship, from when it started, to when it foundered, to when it succeeded, over years and years. It's real life stuff that rings true, at least for me. No happily ever after, no soul mates, but people with a true connection and what they go through despite themselves. If you want the interior view of what love (or something like that) is like, this is it. So why not 5 stars? Well, when you go this specific, this particular, you commit to a certain narrowness. It kind of has to be that way, The consequence is that we are muddling through a lot of contextual stuff, for example, substance abuse, which, common though it is, is not really very universal. I'm not sure it could be done better though. What is there is never dull, never off center, and, hooray for this author because the temptation would abound, never sentimental.",1 person found this helpful,Not my cup of love story..,"The narrator was great, however the story had a slow start which made me expect the end to be better.",,,,,,,,
Lamb,Comedy & Humor,Christopher Moore,Fisher Stevens,,15,20,12/31/2006,28.79,9311,4.5,4.6,4.5,6291,1859,718,247,196,5425,1262,365,113,91,5134,1299,526,167,139,"A Worthy Book, indeed","This is a favorite book of mine. Biff is Jesus' best childhood friend, and Biff has been raised from the dead to write his witness of Jesus' young life. Problem is, Biff is a real smart-arse. Typical of Christopher More, there is plenty of chuckles. Fortunately for us, it's better written than anything else he's written. I've given this book to friends of different faiths, both liberal and conservative, and did not O-ffend. Fisher Steven's narration is a bit scratchy, but you get past it. The witness account of Biff is funny, touching, moving and lasting.",54 people found this helpful,Funny,"""Funny book. It does step on the bible and its morals quite a bit, but most of it is acceptable. It is really funny though. Not quite as good as a dirty job. Worthwhile listen.",1 person found this helpful,I loved it,Very funny book. Fisher Stevens did a great performance. I would Recommend this book to anyone.,1 person found this helpful,,,,,,,
Is This Anything?,Comedy & Humor,Jerry Seinfeld,Jerry Seinfeld,,6,19,10/6/2020,18.74,2886,4.4,4.6,4.3,1897,534,249,103,103,1907,299,90,58,60,1512,394,266,88,104,Classic Jerry,"Not necessarily a book, but it is a 6 hour set of Jerry's stand-up. Which how can you go wrong with that?",1 person found this helpful,Very funny!,"""I'm one of those weird fans that has always loved everything Jerry has ever written. I read the actual book in 3 days then ordered the audible to hear the jokes in Jerry's voice. He did not disappoint. I had the pleasure of meeting Mr. Seinfeld several years ago. He was kind, took the time to speak with me and signed my DVD box set. Thanks for all the years of laughs. Sincerely, Doug Morgan Tulsa, Oklahoma",1 person found this helpful,Decades of the best jokes read by the author,"Do not expect much insight into the world of comedy. except for a few short excerpts at the beginning of each chapter, this book is just the best stand-up comedy bits separated by a decades and presented to the reader. what makes the audio version so great is that Seinfeld reads as if he's performing the bits live in front of an audience. He's one of the best loved performers and his performance does not disappoint. I've seen them live a few times, and I've watched the specials on HBO and Netflix. when he gets rolling, there's no one better. so he even mentioned some of the pandemic issues in 2020, and there's material there I've never heard before, and that was worth the price of the audiobook.",,,,,,,,
Swiped,Comedy & Humor,L.M. Chilton,Georgia Maguire,,8,46,5/21/2024,18.74,7,4,4.4,4,3,1,3,0,0,4,2,1,0,0,3,1,3,0,0,Excellent narrator,"I enjoyed listening to this audio book. Not only was the story interesting, but the narration was excellent.",,loved the premise,"""I really enjoyed this book! I loved hearing about the different men that Gwen encountered in the dating app 'Connected' and how things with with each of them. I did figure out the culprit very quickly into the story by simple progress of elimination, but it was still fun guessing how it would end and it was a very engaging listen. I loved the narrator and the story was fun, exciting, and definitely with the credit!",,,,,,,,,,,
Sandwich,Comedy & Humor,Catherine Newman,Nan McNamara,,5,43,6/18/2024,24.56,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way I Heard It,Comedy & Humor,Mike Rowe,Mike Rowe,,7,55,10/15/2019,14.99,9853,4.8,4.9,4.8,8690,884,205,38,36,8170,416,75,20,21,7575,821,182,31,32,Great book!,"I really loved this book. I may have to listen again. Thanks Mike, please write a sequel to this. It was great! Love your way of giving a history lesson only the way you can.",1 person found this helpful,Classic Mike Rowe,"""Classic Mike Rowe presenting his incredible presentation skills tells a bunch of stories you WILL want to here!",1 person found this helpful,kept me sitting in the car waiting for the end.,what else can one say about this book. his goal a was to honor Paul Harvey. he did. congratulations.,1 person found this helpful,,,,,,,
This Is Going to Hurt,Comedy & Humor,Adam Kay,Adam Kay,,5,47,3/8/2022,19.79,627,4.7,4.8,4.7,503,80,30,9,5,477,44,21,4,4,445,68,17,10,4,Amazing,"As an OBGYN physician 3 months out if residency he’ll. I feel heard, I feel seen, this was therapy.",5 people found this helpful,Great read,"""We’ll written, funny, sad and impactful. I’m so glad he tried to make a difference in health care vs. just writing about it. Well done.",,"Accurate, spot on, funny and thoughtful","After spending 30 years of my life as a Respiratory Therapist I felt a kinship to the author. His tales are hilarious and can’t be scripted. The tragedies are real and can never be forgotten. Personally, I suffer from PTSD from working trauma for so long. I get it, I also quit and never looked back. We are all responsible for creating change. This author did an excellent job for broader discussion.",,,,,,,,
Don't Forget to Write,Comedy & Humor,Sara Goodman Confino,Helen Laser,,9,2,9/1/2023,25.19,937,4.7,4.7,4.7,705,171,47,12,3,682,137,42,9,11,689,145,34,10,4,Just enough details.,This read was quick and fun the elements of foreshadowing kept you guessing and inferring. The author was still able to catch me off guard with some surprises.,1 person found this helpful,Great ending! Love is love ??????,"""Seems like this really could’ve happened and I love reading about strong women ahead of their time.",1 person found this helpful,Fabulous character building!,"Loved this book and can’t wait to read more of her titles. If you love great characters, you’ll love this.",1 person found this helpful,,,,,,,
The Land: Founding: A LitRPG Saga,Comedy & Humor,Aleron Kong,Nick Podehl,Chaos Seeds,9,49,4/21/2017,19.95,33473,4.6,4.8,4.5,24507,5775,1770,683,738,26479,3244,766,178,269,21850,5540,1984,697,805,Welcome to the Land !!!,Gnomes rule !!!! This series is one Helluva opening to an Amazing Series... Aleron is an Amazing author and Nick Podehl is simply the Beat !! You will not be Disappointed.,60 people found this helpful,Gold Standard of LITRPG,"""I've now listened to a number of LITRPG series that I truly like and have given 5 stars across the board to - The System Apocolypse by Tao Wong, Alpha World by Daniel Schinhofen, Ascend Online by Luke Chmilenko, and The Gam3 by Cosimo Yap - but, to me so far, gold standard is The Land. The completeness of integrating an RPG game with real life has been readily managed by the author, Aleron Kong. Now, combine that with the talents of Nick Podehl, and you truly have an epic on your hands. He brings to life all of the characters in such a clever manner that I find it hard NOT to laugh at times, thanks to his way of expressing what is actually happening. Congrats to Aleron for injecting common day events and sayings into the script, so that Nick can expertly interpret them in voice. As a gamer, and a listener of these books, there were many times I'd think, This is what he's got to do now! as we've found ourselves gaming with these events happening to our avatars. Usually, these are basic moves ... or, what we consider to be the most logical moves, as we've probably repeated them over and over and over ... again. Aleron Kong goes beyond the rote next move and weaves an intricate, yet refreshingly correct, path for our hero. One that I've consistently found interesting. The moves are correct, because our hero is flawed and doesn't always go with the flow. It's unique. It's gripping. And, it's just thoroughly enjoyable.",49 people found this helpful,Beautiful Progression,"As the story blooms so does our righteous protagonist, as a fan of character development and progression in Rpg games this was a fun read and I would recommend if you're also watching the anime Rising of the shield hero",37 people found this helpful,,,,,,,
Going Rogue,Comedy & Humor,Janet Evanovich,Lorelei King,Stephanie Plum,8,8,11/1/2022,18.74,4532,4.7,4.8,4.7,3592,628,203,56,53,3533,394,121,35,60,3207,586,193,56,64,Love Stephanie Plum,"I really need Stephanie to start learning. I love all of the books but this is book 29, and I need her to stop acting like she do t need help. Stop pretending when she knows that she is in danger. I still loved the book, and waiting for book 30.",1 person found this helpful,Typical Stephanie Plum - always good,"""Numerous funny bits and I liked that all of the usual background characters got a little bit if action.",1 person found this helpful,I love Stephanie Plum!,I have been a true fan since One For The Money.. and will read every single book Janet Evanovich writes. I am amazed with how her brain works to be honest! These characters are so much fun to read about and don’t take themselves too seriously…. It makes the books fun for me. I even get my husband to listen with me! Lorelei King… is Stephanie Plum…. I hope the narrator never changes!!,,,,,,,,
Margo's Got Money Troubles,Comedy & Humor,Rufi Thorpe,Elle Fanning,,10,21,6/11/2024,24.56,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex and Vanity,Comedy & Humor,Kevin Kwan,Lydia Look,Cities Trilogy,9,36,6/30/2020,22.5,1605,3.9,4.2,3.8,664,433,319,119,70,782,314,163,69,47,542,354,275,116,87,Wonderful,This was as funny and entertaining as the Crazy ones. I would love if you developed some of the other people and told their stories.,4 people found this helpful,Fun Sumer love and intrigue,"""Kevin Kwan has a light flowing plume, interesting characters. Very enjoyable! PS. I’m missing already my travels to Capri",2 people found this helpful,Fantastic fantasy,Narrators make listening into cinema. This was a blissful escape from headlines and boredom. Hopefully there will be more Lucy to love in the near future!,1 person found this helpful,,,,,,,
The Fixer Upper,Comedy & Humor,Mary Kay Andrews,Isabel Keating,,14,15,6/23/2009,28.79,2292,4.4,4.6,4.4,1296,643,254,67,32,1313,424,135,29,17,1107,503,213,56,32,unexpectedly charming,"If you could sum up The Fixer Upper in three words, what would they be? charming, heartwarming, funny Have you listened to any of Isabel Keating’s other performances before? How does this one compare? I have not listened to any of her other performances but will add her to my list. Any additional comments? It is an easy listen, lighthearted story",7 people found this helpful,Nice book for a getaway!,"""This book was a new nice listen. Isabel Keating does a nice job with accents and varying the characters voices. A nice book for a getaway.",,review,"Very entertaining book with great characters!! Also enjoyed the narrator, she kept the book flowing.",,,,,,,,
Let's Pretend This Will Work,Comedy & Humor,Maddie Dawson,Helen Laser,,10,5,6/1/2024,30.09,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Very Punchable Face,Comedy & Humor,Colin Jost,Colin Jost,,7,41,7/14/2020,18,9566,4.7,4.9,4.7,7648,1515,302,63,38,7320,757,130,32,29,6439,1391,274,64,45,Biggest hit in my 2020 library,"2020’s been rough. I’ve lost family members to Covid and Cancer. My daughter was trapped in Italy , for 11 weeks as Covid raged around her. My anxiety went through the roof and I’ve really had to filter out any books that might add to it. This book was like taking a much needed vacation. I laughed out loud for the first time in months. The stories were personal but relatable and told with such honesty and emotion, I was easily drawn in and completely entertained. Colin is a master storyteller and his delivery immpecable.",40 people found this helpful,I couldn't stop laughing,"""I am a big fan of Colin Jost, I love SNL and I love him and Michael Che on Weekend Update. I had eagerly awaited for this book to come out ever since I first found out about it. I really like that it is read by Colin himself, it gives the book a more authentic feel. I enjoyed listening to him describe his upbringing, how is his mom is truly a hero (Thank Ms. Jost for everything you did in 9/11), and describing life at SNL. I recommend anybody interested in this book to pick the audio version as well.",6 people found this helpful,This Jost Guy Is Pretty Funny,"I’ve listened to quite a few SNL audiobooks. No kidding, this is the funniest one by far. Highly recommended. People driving by me on the highway while I listened to it probably were very concerned about me and obviously their own safety, seeing me laughing like a maniac, while driving.",4 people found this helpful,,,,,,,
"Life, the Universe, and Everything",Comedy & Humor,Douglas Adams,Martin Freeman,Hitchhiker's Guide to the Galaxy,5,48,7/3/2006,13.5,8103,4.6,4.8,4.6,5913,1669,422,68,31,5621,996,183,29,26,4922,1340,487,62,33,funny!,great funny story. classic tongue in cheek humor or life. you will do it over and over,1 person found this helpful,Hilarious Situations and Silly Names,"""Just as random and delightful as the previous books. Truly hilarious moments about the game of cricket, mattresses, reincarnation, fooling gravity, and alphabetical insults. My personal favorite book in the series. Martin Freeman is spectacular.",,SO many laughs,I love this series in total and I LOVE this book in particular!! Pretty much everything about it is hilarious. I miss Douglas Adams :-(,,,,,,,,
Based on a True Story,Comedy & Humor,Norm Macdonald,Norm Macdonald,,7,18,9/20/2016,18,8423,4.6,4.8,4.5,6298,1164,542,209,210,6459,594,221,79,121,5319,1052,576,246,255,Crazy. But also great.,"Would you listen to Based on a True Story again? Why? I expect I will listen to it again in a year or so. It was excellent and I am blessed with a short memory. What did you like best about this story? I know MacDonald's career fairly well, so it is fun to try to pick to truth from the silliness. Have you listened to any of Norm Macdonald’s other performances before? How does this one compare? Norm is fantastic. If you were to make a film of this book, what would the tag line be? In a world... Any additional comments? Top notch.",23 people found this helpful,NORM!!!,"""God I love NORM and this book as well. Way to go NORM! You did it!!",15 people found this helpful,RIP to the goat,I didn't expect his writing skills to be so great. this reads like a Foster Wallace novel. incredible concept,3 people found this helpful,,,,,,,
"Tales from the Gas Station, Volume Four",Comedy & Humor,Jack Townsend,MrCreepyPasta,Tales from the Gas Station,14,41,10/27/2023,24.95,661,4.9,4.9,4.8,593,48,14,5,1,565,31,4,0,2,538,36,18,6,4,Narration is always great!,The ending was exactly what I knew it would be and there wasn’t enough Jerry! I also didn’t care for the political socialist crap they used as a filler. I missed the Jack and Jerry dynamic.,1 person found this helpful,"Rocco and Rita, a love story","""Two lovers, long separated, rediscover each other in this epic conclusion of ‘ A tale of nJerries’",,One of my most favorite stories,I’ve been a fan since Mrcreepypasta first started reading Tales from the gas station on YouTube. Always have loved the stories and love the books even more!!! Fantastic job Jack and I hope there will be more adventures with the gang!,,,,,,,,
My Year of Rest and Relaxation,Comedy & Humor,Ottessa Moshfegh,Julia Whelan,,7,14,7/10/2018,18,4659,4,4.6,3.8,2150,1145,715,356,293,2900,755,272,79,68,1709,981,639,366,375,Better than I thought,"This author loves to write in lists but it works for its existentialist approach to the novel. The ending was a little abrupt but overall, it was very good. The life of a depressed 23 year old New Yorker seemed like a new and engaging topic, especially for today's millennials who have everything so easy, except for connection with authority figures or solid role models. I'd recommend it to anyone who wants something new to read.",5 people found this helpful,Boring stories of a depressed narcissist,"""I don't think I have ever hated book until now. It is just pages and pages of the main character being self obsessed and nasty to other people. She manipulates her psychiatrist into giving her every drug on Gods green earth, and then basically sleeps or is trying to sleep the entire book.",4 people found this helpful,Vapid Woman Lives on Sleep,"Sometimes life makes you want to run away, go home, put on a pair of PJS and not leave until you have to. This book is an exploration of how a woman successfully disappears and refuses to participate in “life” for a year. She systematically prepares her days for as much sleep as possible. The main character is wealthy, skinny, and quite tragic. While I thoroughly enjoyed this performance, I couldn’t enjoy the story. It seemed vapid and lacking in details. Understandably, the idea of this book is about living in the void – there was something else missing. Overall, I would suggest this book, but know there is not a lot going on in terms of storyline.",3 people found this helpful,,,,,,,
The Gold Standard,Comedy & Humor,Ari Gold,Ari Gold,,3,3,5/12/2015,16.14,1063,4.7,4.9,4.7,869,144,34,8,8,848,68,20,3,6,731,144,44,13,6,Simply amazing,I will write HBO a million letters if they don't give this character a spin off!,3 people found this helpful,exactly what I needed,"""this book has gotten me out of this runt that I have been in for a little while. the way it was narrated was perfect.",,Perfect ????????????????,"Gary Stephen Arias from @socialmediacards ???????? I am an entrepreneur and when I need some serious motivation some serious inspiration some serious pick me up energy, I listen to this book. Overall amazing ??????",,,,,,,,
Everyone on This Train Is a Suspect,Comedy & Humor,Benjamin Stevenson,Barton Welch,Ernest Cunningham,8,27,1/30/2024,22.49,382,4.4,4.7,4.5,250,83,28,11,10,273,44,18,4,5,229,76,19,9,11,I hope there’s more,I binged the first book and now this one in about 4 days. I’m so hooked on these characters and author that I hope there’s more to come!,1 person found this helpful,unique voice,"""clever whodunit with a truly unusual, amusing voice. very 'meta' and I love it. laugh out loud and suspenseful.",,Can we get more mysteries that follow the 10 rules?,In a time overrun with unreliable narrators (I can’t remember the last BOTM Club choice where the book description didn’t list “unreliable narrator” in the overview) it is refreshing to have a mystery we can listen to (or read) that fairly shares clues to logically arrange providing a slight chance to solve it before the final reveal. It makes mystery reading FUN again. The clever way clues are dropped make this book un-put-down-able!,2 people found this helpful,,,,,,,
Big Swiss,Comedy & Humor,Jen Beagin,Rebecca Lowman,,11,16,2/7/2023,17.99,407,4,4.5,3.9,195,97,60,31,24,245,66,34,11,8,170,86,52,30,26,One of my favourites,This and The Guncle are comedic gold. Excellent narration and story with the narration perhaps my favorite ever!,5 people found this helpful,Fascinating characters,"""Original story with fascinating characters I didn’t know where the story was going sometimes funny sometimes sad sometimes sexual but the characters were fascinating",1 person found this helpful,Trauma dumping,I really enjoyed it! The characters seemed true to themselves and the performance was great by the reader! I love that everyone has there own mental hurdle they need to get over. It was trauma dump after trauma dump. But if felt true to Greta to over share in that way. It also felt like a lot of Greta’s long monologs and rants she go on are super poetic in her description making it feel like she writing a letter instead of talking. really enjoyed it felt it did drag a little with the descriptions but loved the humor LOLed quite a lot!,,,,,,,,
The Spook Who Sat by the Door,Comedy & Humor,Sam Greenlee,Dion Graham,,6,6,5/19/2020,15.75,2311,4.9,4.9,4.8,2037,226,36,7,5,1784,163,28,1,2,1731,200,36,5,4,I love it!,Great book. It is relevant to what America is going through right now. a revolution is coming. Be prepared folks.,3 people found this helpful,Thought-provoking,"""Loved it. Entertaining read all the way through. Very familiar with what is going on today. What would American look like if gangs didn't systematically destroy the young black revolutionary? That's why the government moves quick to quell any uprising. Otherwise, it would be a full-on civil war across the country. Book leaves you wanting a prequel and a sequel.",1 person found this helpful,Good book,"Good book can't wait for the updated version coming out on live screen. Seem plausible to be a true story, though it is not.",,,,,,,,
I Can't Make This Up,Comedy & Humor,Neil Strauss - contributor,Kevin Hart,,11,15,6/6/2017,29.95,55762,4.7,4.8,4.7,45240,7646,1812,490,574,44339,4181,1026,303,391,40156,7034,1847,461,486,Best Audiobook I Ever Listened To,"I am so glad that I listened to this book! I have been an audible subscriber since 2011 and I generally stay in the personal development/self help categories, but I am a Kevin Hart fan and figured this would be a hilarious experience. It was, and you will laugh from beginning to end with this book. What I was not expecting was to receive so many practical lessons and success principles that were on par with the best books in the personal development industry. Most people don't know the process that Mr. Hart went through to get to the top. Like he states in the book he's an overnight success 16 years in the making! You will definitely want to listen to this book multiple times. I highly recommend it. Not only is it entertaining but you WILL be motivated to step your game up in whatever arena you have chosen to play in. GET THIS AUDIOBOOK!!!",288 people found this helpful,I ?? Hart,,64 people found this helpful,Incredible,"Absolutely amazing.... Absolutely recommended... it's funny, it's emotional, it makes you look at yourself and wondering. I will be listening to it again, maybe even three times. Loved it!!!",4 people found this helpful,,,,,,,
Red Seas Under Red Skies,Comedy & Humor,Scott Lynch,Michael Page,Gentleman Bastard Sequence,25,56,1/21/2020,27,4260,4.7,4.9,4.7,3301,770,158,25,6,3361,302,35,3,2,2759,695,198,28,13,a half step backwards,"great story. incredible delivery. I really like these books, but the primary motivational turning point in the book feels a little contrived and feels like it happens too fast to carry the weight it's supposed to. still delivers on the oceans 11 heist vibes in big ways.",1 person found this helpful,Love it!,"""Gosh these books have some great twists! I have truly enjoyed the adventure so far. The audio book narrator is perfect for this book!",,Loves this world!,Great story with complex characters and a rich well developed world. Lynch has a timeless antihero in Locke LaMora,,,,,,,,
"Sure, I'll Join Your Cult",Comedy & Humor,Maria Bamford,Maria Bamford,,7,40,9/5/2023,14.99,981,4.7,4.8,4.7,817,77,38,15,34,790,42,12,14,24,737,69,33,17,24,Beautiful,"Such a wonderful listen, immediately restarted upon finishing it the first time. I could not get enough. It's definitely meant to be an audible book read by Maria. She did such an amazing job.",3 people found this helpful,The best gift I ever gave myself,"""After scouring the internet for every Maria Bamford clip, set, special, series, and full-length presentation to mental healthcare professionals that I could find as a real fan - she went ahead and wrote me an entire book. 7 hours of Maria that I saved to listen to on my 30-minute solo walk once a week and now that I’ve reached the end, I have to decide how long I wait before I start again at the top. I don’t want to spoil it for myself by listening again all the way through too soon. I was high on this exceptional comedy memoir just 30 minutes in, and actually I tried to leave a review. Audible wouldn’t let me. I knew at that point that I had a priceless jem in my ears, but they thought I needed to be further into this book before I could be sure I would recommend this beautifully transparent, insightful, and hi-larious listen to every woman I know. 10 out of 10, best Audible I’ve ever bought. And I’m a 100% Ear-read individual. Thank you, Maria, for your book and your performance of said book. Everyone who’s anyone loves you!",1 person found this helpful,The latest source of joy from the world’s greatest comic,"Everything about this is good. Maria’s skills as both a stand up comedian and voice over actor combine with her frank and honest tales of navigating mental health resulting in something that is moving and well performed. I’m sure I speak for others when I say that Maria’s openness about her ‘mentals’ helped set me on a path to getting help for my own ‘mentals’ and because of her putting herself out there, I saw that I needed the help that kept me alive. She’s my hero. Listen to her book. It’s GOOD. And if you or anyone you care about struggles with anything, big or small, up in the old noggin… listen. We aren’t alone.",,,,,,,,
Finlay Donovan Is Killing It,Comedy & Humor,Elle Cosimano,Angela Dawe,The Finlay Donovan Series,9,59,2/2/2021,20.24,3669,4.5,4.7,4.5,2356,983,246,57,27,2453,574,138,27,23,2021,848,233,63,29,Great story and narrator!,I was concerned that a lot of people said the narrator had annoying voices for side characters. I didn't find then annoying. if anything they helped me keep track of who was speaking because they were so distinctive.,2 people found this helpful,HOT Nick,"""I got book 2 on sale and had to go back and get this book one for a full credit and it was so well worth it. These are continuing stories and they don’t stand alone, so now even though I read book 2 first and it was hilarious it really didn’t make all that much sense until I went back and listen to this one. The books are short very entertaining And if you’re able to get any or all on sale then it’s a great listen because the wonderful Angela Dawe really interprets the whit of all the characters. In this book hot Nick is featured and not much in book 2 which was a disappointment. This author ends the books Not with a cliffhanger but a preview of the next book. Where my comments of help?",1 person found this helpful,love love love,I enjoyed every minute of this book and recommend it for anyone needing something new and fun from the murder mystery genre,1 person found this helpful,,,,,,,
John Dies at the End,Comedy & Humor,David Wong,Stephen R. Thorne,John Dies at the End,14,17,3/9/2011,17.9,9156,4.2,4.5,4.2,5184,2150,1003,447,372,5590,1846,592,139,135,4597,1840,1003,460,418,"Tried something new, and I liked it!","What did you love best about John Dies at the End? I loved that this story wasn't a formula driven story. No good guy battles the bad guy and wins because he is the good guy stuff. The characters are not knights in shining armor, everyone is broken (or at least chipped), but that didn't make them bad people, or especially good people. Just... people. The story was a little crazy... a little funny... a little surprising... And the twists and turns weren't sadly obvious, or so ridiculous that it ruined the story. It all felt like it just fit together. And fit well. What did you like best about this story? I was afraid the the story was going to get overly complicated... overlapping time, and different dimensions, and all of the classic over-complications of scifi... Nope! The story was filtered by the point of view of the regular guys on an irregular adventure. They didn't bother trying to explain everything. They figured out what they needed to know, and went with it. It was an interesting premise, a good story, and a very good performance. Thorne's performance fit the characters perfectly, in all their imperfect glory. Any additional comments? I almost hope for a sequel to this book.... but I would be afraid it wouldn't be able to capture the same magic as this one did.",3 people found this helpful,One of the greatest books ever written.,"""Douglas Adams meets Stephen King. But with more dick jokes. Read it, you won't be disappointed!",1 person found this helpful,smartassed & surrealist humor,,1 person found this helpful,,,,,,,
Unruly,Comedy & Humor,David Mitchell,David Mitchell,,11,39,10/3/2023,20.25,510,4.8,4.9,4.8,436,54,7,9,4,428,23,4,3,5,403,39,11,5,4,"Great Book, A sarcastic view of British History",Enjoyable read. Funny and highly sarcastic. The early history of the kings and queens of England I have read several times from famous authors. I prefer the Mitchell version.,2 people found this helpful,Informative and funny!,"""I love Mitchell’s humor and had no idea he had studied history. He found a way to Impart a lot of knowledge into this humorous history. Even if you aren’t British but love British humor this is a great read",2 people found this helpful,Unparalleled Brilliance,"It’s is rare to come across an author, a reader, and a book that is both scholarly, philosophical, and insanely entertaining. David Mitchell’s sense of humor and comedic talent alone would earn this book 5 stars. But the depth in its research and the conclusions drawn are equally impressive. It’s almost intimidating to discover that great feats of writing, research and performance are here in our midst. But how exciting to know that we live among great people who can teach us the true history of English royalty, the majestic use of the English language and the value of a fart joke all in one book.",1 person found this helpful,,,,,,,
A Confederacy of Dunces,Comedy & Humor,John Kennedy Toole,Barrett Whitener,,13,32,12/26/2004,17.9,8477,4.2,4.4,4.2,4713,1817,979,523,445,4607,1220,528,216,231,3960,1304,772,419,349,All Time Favorite ruined by bad narration,"What did you like best about A Confederacy of Dunces? What did you like least? The story is fantastic, very funny and intelligent - the Narration is horrible and completely ruined the book for me - please just read this and don't waste your time listening!",27 people found this helpful,Dialect is all wrong,"""This is my favorite book. I usually enjoy Barrett Whitener's reading, but in Dunces, he delivers a disappointing product. The book is so dependent on the dialects of New Orleans (my hometown), and Whitener mimics them badly. Somebody should have done some research: in N.O., Chartres Street is pronounced CHAWT-uhs, not shart. Next time, get a native New Orleanian to read it.",24 people found this helpful,A Funniest Sad Book,,11 people found this helpful,,,,,,,
Me Talk Pretty One Day,Comedy & Humor,David Sedaris,David Sedaris,,5,51,6/30/2000,14.81,12045,4.5,4.7,4.5,8101,2377,908,341,318,6937,1060,395,134,146,5918,1654,620,255,196,Just too good.,"You either get David, or you don't. I'd like to count myself amoungst the former. If you like his unique style, he's a singular treat.",4 people found this helpful,Hysterical,"""Who lives like this? Better yet, who lives like this, can admit to it and make it so side-achingly funny? Definitely his best book in my opinion, and all the better to hear him read it himself.",1 person found this helpful,Simply Wonderful,"This book is the funniest thing I have heard in a long time. I laughed so hard at times, I could barely breathe. Simply wonderful!",1 person found this helpful,,,,,,,
Live Wire,Comedy & Humor,Kelly Ripa,Kelly Ripa,,9,59,9/27/2022,,2626,4.6,4.7,4.6,2076,297,123,64,66,2034,182,76,30,64,1839,288,117,47,78,Great Stories,"Book was funny and totally relatable. Especially enjoyed hearing it in author’s own voice. Certain parts made me laugh out loud. As on TV, Kelly makes you feel like she’s your friend. I strongly recommend it to everyone.",2 people found this helpful,LOVE LOVE LOVE??,"""I love all of the stories and Kelly kept me listening with her great narration. Must read this book! All of the stories were deep but the laughter and cries I had throughout has me wanting more. Definitely worth the credit!!",1 person found this helpful,Loved it!,I laughed out loud! She gives a glimpse into her life that we don’t see on Live. I teared up a bit not bc there were sad parts but when she talks about her children you can hear the overabundance amount of love she has for them. I could listen to her all day. Until another book is out I’ll settle for the 1 hr I get with her every morning.,1 person found this helpful,,,,,,,
